TIC ID,CTOI,Promoted to TOI,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Radius (R_Earth),Radius (R_Earth) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,cTOI author,period_PHT,period err neg,period err pos,depth_PHT,planet_radius
328933398,328933398,1873.01,10.7447,0.006,212.568476,84.371858,1.067,0.044,-2.419,0.037,2458706.449,0.001,24.934,0.007,4.93,1.441,0.11,1326.62,101,,,182.014,0.805,5699,141.132,4.46949,0.0776029,0.971675,0.0471155,PHT,50.5,22.4,77.1,1013.808997,3.14
328933398,328933398,1873.02,10.7447,0.006,212.568476,84.371858,1.067,0.044,-2.419,0.037,2458848.645,0.009,0,,6.97,1.347,0.327,1239.846,301,,,182.014,0.805,5699,141.132,4.46949,0.0776029,0.971675,0.0471155,PHT,24.9335,0.0046,0.005,2162.757807,4.62
331644554,331644554,,9.61487,0.006,330.55306,47.090352,5.18,0.046,0.855,0.047,2458757.03,0.05,0,,8,3.262,0.543,3000,500,9,2,323.808,2.9095,8450,238.967,4.31188,0.0728581,1.67454,0.051191,PHT,947,215,274,3703.664414,21.84
332657786,332657786,,13.0041,0.008,149.991806,-16.159794,52.411,0.122,-172.313,0.093,2458536.76,0.01,0,0,3.3,49.992,5.442,45000,5000,4,2,38.6057,0.1007,3275,157,5.00733,0.0166054,0.234967,0.00708222,PHT,63.76,9.52,11.13,32855.647,3.83
336075472,336075472,,10.6329,0.006,276.862418,45.454489,32.536,0.038,111.749,0.039,2459028.176,0.004,,,5.4,1.739,0.326,1600,300,3.1,0.4,65.4707,0.09755,4152,121.771,4.55825,0.111566,0.702045,0.0657186,PHT,61.9,24,95.6,1899.892316,3.09
349488688,349488688,2319.01,8.40302,0.006,253.784885,20.491524,14.755,0.032,44.689,0.037,2458994.282,0.008,11.625,0.008,,0.76,0.326,700,300,3.4,1.7,107.898,0.317,6329,134.955,4.24509,0.0925756,1.39619,0.0640704,PHT,24.3082022,3.3945057,6.2309083,1381.988852,5.7355294
349488688,349488688,,8.40302,0.006,253.784885,20.491524,14.755,0.032,44.689,0.037,2458994.282,0.008,11.625,0.008,,0.76,0.326,700,300,3.4,1.7,107.898,0.317,6329,134.955,4.24509,0.0925756,1.39619,0.0640704,PHT,11.6261932,0.0025055,0.0022349,486.5029594,3.4560292
349576261,349576261,,11.5326,0.006,112.010059,-63.517779,-5.977,0.043,10.433,0.04,2458456.878,0.006,225.1,0.1,4.6,,,,,13,2,339.605,2.5095,5965.99,109.137,4.28007,0.0724984,1.25231,0.0545578,PHT,,,,7631.013002,11.9
355881602,355881602,,12.0518,0.007,138.146731,-53.531653,-35.775,0.044,50.959,0.045,2459302.925,0.003,,,4.2,8.579,0.869,7870,800,5.1,0.3,77.0909,0.13555,3736,157,4.71367,0.00911764,0.527221,0.0157736,PHT,76.8,15.3,30.8,1823.470088,5.11
356700488,356700488,2098.01,8.20773,0.006,254.455649,68.699581,13.667,0.06,-20.542,0.077,2458756.65,,0,,9,0.434,0.109,400,100,3,1,148.944,0.669,7788,126.105,4.32577,0.074527,1.54578,0.0435377,PHT,184.5,64.7,333.1,350.3689179,2.92
356710041,356710041,2065.01,9.0024,0.007,192.577265,26.159536,12.582,0.055,2.659,0.039,2458932.29,0.05,0,,12,2.718,0.543,2500,500,10,2,234.294,2.1745,5701.43,118.15,3.56597,0.0743608,2.75645,0.13196,PHT,29.6,14,19,2559.527449,14.82
369532319,369532319,,10.1233,0.006,338.574347,33.823466,-1.237,0.075,-29.635,0.076,2458755.81,0.01,0,0,5.6,2.174,0.543,2000,500,,,145.066,1.1995,5758,128.163,4.45663,0.0775638,0.993436,0.0484472,PHT,35.4,12,51.6,1163.185141,3.43
369779127,369779127,,8.769,0.006,147.459326,-85.545248,-32.89,2,28.83,2,2458643.95,0.02,0,0,6.1,1.358,0.271,1250,250,5.5,1,142.116,,6654,,,,1.55182,,PHT,9.93,3.38,19.74,988.1373364,4.89
384159646,384159646,1895.01,9.7556,0.006,243.713459,-81.680597,-17.507,0.044,-31.801,0.048,2458630.392,,0,,5,5.442,1.086,5000,1000,8.771,2,206.229,1.188,6682,127.61,4.3114,0.0881089,1.37387,0.0567035,PHT,11.68,2.75,4.21,4821.711663,9.87
385557214,385557214,,9.6743,0.006,56.491689,27.559299,41.372,0.11,-117.988,0.068,2458791.585,0.05,5.625,0.005,,5.442,0.543,5000,500,,,56.5565,0.25765,4447,119.458,4.48532,0.0974172,0.792357,0.0624095,PHT,5.62451,0.0004,0.00043,5594.285724,8.32
388134787,388134787,,10.1654,0.006,318.236934,67.296633,-59.475,0.046,-49.446,0.04,2458811.05,,0,,8.7,0.543,0.109,500,100,3,1,120.685,0.326,5468,129.304,4.52647,0.0835387,0.883135,0.0474724,PHT,246,127,6209,802.2064785,2.57
400786146,400786146,,10.7716,0.006,167.000935,-67.149824,-0.789,0.052,-1.28,0.038,2459323.081,0.003,22.153,0.005,,6.239,0.597,5730,550,13.4,0.9,333.206,2.7475,6123,135.602,4.07991,0.0824875,1.6267,0.0768643,PHT,22.1535,0.0046,0.0042,1506.203529,13.41
404518509,404518509,4320.01,8.6022,0.006,51.640345,-43.613665,-2.359,0.037,-22.812,0.055,2458431.29,0.05,0,0,5,0.869,0.217,800,200,3,1,79.208,0.1595,5871,125.293,4.43296,0.0790908,1.03563,0.0503367,PHT,26.83,9.46,56.14,773.1855034,2.94
408636441,408636441,1759.01,9.92838,0.007,326.851662,62.753816,-173.47,0.056,-10.46,0.048,2458745.47,0.02,75.4,1,5.6,2.718,0.109,2500,100,4.9,2,40.0654,0.0423,3960,157,4.62853,0.0112399,0.627046,0.0185078,PHT,37.695,0.0034,0.0033,2676.861439,3.32
